DEPARTURE_DATETIME,AIRLINE,DAY_OF_WEEK,DISTANCE,AIR_TIME,TAXI_IN,TAXI_OUT,DEPARTURE_DELAY
2015-01-10 16:41:00,UA,6,862,113.0,9.0,16.0,11.0
2015-01-10 17:24:00,UA,6,679,91.0,7.0,9.0,-6.0
2015-01-10 17:50:00,AA,6,1182,155.0,5.0,14.0,30.0
2015-01-10 18:19:00,OO,6,298,46.0,7.0,12.0,4.0
2015-01-10 19:27:00,UA,6,991,134.0,4.0,15.0,19.0
2015-01-10 20:21:00,OO,6,774,116.0,7.0,22.0,75.0
2015-01-11 06:10:00,DL,7,387,54.0,6.0,39.0,-1.0
2015-01-11 06:11:00,B6,7,1598,195.0,4.0,18.0,0.0
2015-01-11 06:46:00,OO,7,77,21.0,1.0,10.0,16.0
2015-01-11 06:59:00,US,7,861,125.0,13.0,10.0,9.0
2015-01-11 08:15:00,DL,7,1670,190.0,4.0,23.0,-5.0
2015-01-11 09:28:00,MQ,7,383,68.0,22.0,9.0,-4.0
2015-01-11 10:43:00,UA,7,2007,232.0,6.0,25.0,14.0
2015-01-11 10:45:00,DL,7,721,117.0,27.0,15.0,-5.0
2015-01-11 12:10:00,DL,7,946,145.0,7.0,14.0,0.0
2015-01-11 12:49:00,DL,7,356,54.0,5.0,9.0,-1.0
2015-01-11 13:11:00,US,7,936,143.0,12.0,20.0,6.0
2015-01-11 13:42:00,WN,7,404,62.0,9.0,12.0,-3.0
2015-01-11 14:15:00,MQ,7,312,47.0,4.0,15.0,0.0
2015-01-11 15:07:00,DL,7,594,84.0,5.0,18.0,7.0
2015-01-11 15:41:00,US,7,992,148.0,3.0,69.0,-4.0
2015-01-11 17:16:00,F9,7,1679,232.0,7.0,19.0,11.0
2015-01-11 17:35:00,UA,7,1514,177.0,8.0,21.0,0.0
2015-01-11 18:54:00,US,7,546,104.0,12.0,18.0,-1.0
2015-01-11 19:47:00,MQ,7,135,40.0,47.0,51.0,92.0
2015-01-11 20:11:00,UA,7,1197,158.0,4.0,42.0,52.0
2015-01-11 22:47:00,OO,7,109,27.0,7.0,7.0,202.0
2015-01-12 05:15:00,AA,1,1258,187.0,7.0,10.0,0.0
2015-01-12 05:58:00,DL,1,488,83.0,10.0,29.0,-2.0
2015-01-12 06:25:00,OO,1,157,41.0,14.0,31.0,0.0
2015-01-12 06:56:00,US,1,899,132.0,3.0,12.0,-4.0
2015-01-12 08:08:00,OO,1,67,17.0,6.0,15.0,-2.0
2015-01-12 08:39:00,EV,1,980,132.0,5.0,14.0,4.0
2015-01-12 10:05:00,WN,1,1037,131.0,4.0,16.0,0.0
2015-01-12 10:34:00,WN,1,226,41.0,5.0,14.0,-1.0
2015-01-12 12:02:00,DL,1,321,49.0,5.0,13.0,-3.0
2015-01-12 12:09:00,EV,1,466,75.0,4.0,29.0,-1.0
2015-01-12 12:22:00,WN,1,1052,146.0,4.0,17.0,32.0
2015-01-12 12:29:00,WN,1,337,54.0,10.0,11.0,14.0
2015-01-12 13:01:00,US,1,507,94.0,6.0,21.0,-4.0
2015-01-12 13:55:00,B6,1,636,103.0,5.0,13.0,-4.0
2015-01-12 15:05:00,OO,1,188,40.0,5.0,22.0,-10.0
2015-01-12 15:08:00,DL,1,926,142.0,5.0,44.0,-12.0
2015-01-12 15:30:00,AA,1,2611,301.0,6.0,27.0,5.0
2015-01-12 15:51:00,OO,1,74,20.0,4.0,22.0,-4.0
2015-01-12 16:30:00,OO,1,590,86.0,6.0,27.0,50.0
2015-01-12 18:03:00,UA,1,2434,326.0,5.0,24.0,3.0
2015-01-12 18:36:00,NK,1,837,120.0,74.0,9.0,-4.0
2015-01-12 20:13:00,EV,1,961,111.0,8.0,12.0,74.0
2015-01-12 20:17:00,WN,1,1452,207.0,6.0,9.0,87.0
2015-01-12 20:20:00,AS,1,697,92.0,4.0,10.0,-5.0
2015-01-12 20:48:00,WN,1,594,96.0,11.0,11.0,288.0
2015-01-12 21:24:00,EV,1,448,74.0,4.0,17.0,199.0
2015-01-12 21:41:00,WN,1,189,39.0,5.0,8.0,-4.0
2015-01-13 05:54:00,MQ,2,685,101.0,16.0,31.0,-5.0
2015-01-13 07:42:00,US,2,728,88.0,6.0,27.0,-3.0
2015-01-13 07:42:00,WN,2,945,132.0,4.0,24.0,17.0
2015-01-13 08:14:00,UA,2,299,48.0,14.0,28.0,14.0
2015-01-13 08:53:00,WN,2,1111,178.0,5.0,9.0,-2.0
2015-01-13 09:29:00,AA,2,985,119.0,5.0,21.0,-1.0
2015-01-13 10:58:00,B6,2,2475,303.0,9.0,25.0,-2.0
2015-01-13 11:46:00,OO,2,224,43.0,18.0,15.0,20.0
2015-01-13 13:43:00,NK,2,1217,143.0,6.0,13.0,-3.0
2015-01-13 13:51:00,MQ,2,113,32.0,9.0,18.0,-4.0
2015-01-13 14:41:00,UA,2,965,157.0,7.0,14.0,-3.0
2015-01-13 14:41:00,B6,2,1076,159.0,6.0,38.0,-4.0
2015-01-13 15:38:00,AS,2,859,116.0,6.0,9.0,8.0
2015-01-13 15:39:00,AS,2,679,94.0,5.0,10.0,-6.0
2015-01-13 16:49:00,WN,2,481,91.0,8.0,24.0,24.0
2015-01-13 17:07:00,DL,2,1931,248.0,5.0,10.0,-3.0
2015-01-13 18:08:00,MQ,2,113,30.0,18.0,10.0,-2.0
2015-01-13 18:12:00,DL,2,1199,165.0,8.0,16.0,-3.0
2015-01-13 18:27:00,DL,2,989,137.0,3.0,12.0,7.0
2015-01-13 20:08:00,US,2,808,123.0,5.0,13.0,9.0
2015-01-13 20:10:00,EV,2,954,132.0,6.0,18.0,0.0
2015-01-13 20:43:00,WN,2,390,66.0,4.0,20.0,48.0
2015-01-13 21:59:00,WN,2,507,70.0,5.0,10.0,-6.0
2015-01-14 06:44:00,DL,3,2475,291.0,11.0,14.0,-6.0
2015-01-14 07:26:00,DL,3,250,41.0,11.0,21.0,-2.0
2015-01-14 07:52:00,US,3,920,121.0,6.0,12.0,-8.0
2015-01-14 08:07:00,F9,3,589,89.0,23.0,29.0,-13.0
2015-01-14 08:44:00,WN,3,895,118.0,6.0,10.0,-1.0
2015-01-14 08:48:00,WN,3,647,89.0,6.0,11.0,-2.0
2015-01-14 09:19:00,US,3,936,151.0,6.0,10.0,0.0
2015-01-14 09:25:00,HA,3,163,32.0,5.0,10.0,-7.0
2015-01-14 10:39:00,EV,3,288,52.0,10.0,17.0,26.0
2015-01-14 10:48:00,B6,3,1121,139.0,5.0,14.0,-2.0
2015-01-14 11:28:00,HA,3,84,18.0,6.0,10.0,14.0
2015-01-14 11:45:00,WN,3,308,54.0,5.0,14.0,-5.0
2015-01-14 12:32:00,MQ,3,312,53.0,4.0,14.0,57.0
2015-01-14 13:00:00,DL,3,1535,192.0,4.0,16.0,0.0
2015-01-14 13:22:00,B6,3,2446,293.0,6.0,11.0,-1.0
2015-01-14 16:01:00,EV,3,585,83.0,9.0,9.0,-4.0
2015-01-14 16:39:00,UA,3,680,97.0,7.0,14.0,-1.0
2015-01-14 16:59:00,WN,3,849,143.0,10.0,12.0,44.0
2015-01-14 17:07:00,UA,3,1514,206.0,7.0,16.0,7.0
2015-01-14 17:25:00,WN,3,562,70.0,5.0,5.0,0.0
2015-01-14 17:38:00,DL,3,1927,254.0,8.0,21.0,2.0
2015-01-14 17:40:00,US,3,1440,186.0,5.0,19.0,35.0
2015-01-14 18:04:00,US,3,130,29.0,6.0,14.0,-1.0
2015-01-14 18:47:00,WN,3,1605,192.0,9.0,8.0,27.0
2015-01-14 18:59:00,WN,3,372,67.0,4.0,10.0,-6.0
2015-01-14 19:11:00,DL,3,813,122.0,4.0,17.0,12.0
2015-01-14 19:20:00,B6,3,2611,337.0,5.0,31.0,-3.0
2015-01-14 19:42:00,NK,3,982,138.0,4.0,9.0,126.0
2015-01-14 20:48:00,AA,3,237,35.0,3.0,13.0,-7.0
2015-01-14 20:59:00,WN,3,307,47.0,6.0,7.0,-6.0
2015-01-14 21:10:00,WN,3,296,41.0,2.0,8.0,0.0
2015-01-14 21:29:00,WN,3,460,69.0,5.0,8.0,-1.0
2015-01-15 05:33:00,OO,4,802,127.0,4.0,36.0,3.0
2015-01-15 05:56:00,OO,4,677,87.0,4.0,27.0,-4.0
2015-01-15 05:56:00,US,4,678,99.0,9.0,13.0,-4.0
2015-01-15 07:13:00,US,4,651,81.0,26.0,13.0,-2.0
2015-01-15 07:29:00,DL,4,1851,244.0,12.0,19.0,-1.0
2015-01-15 08:08:00,DL,4,1547,221.0,9.0,22.0,-7.0
2015-01-15 09:30:00,AS,4,1009,130.0,4.0,12.0,0.0
2015-01-15 09:45:00,AA,4,1121,166.0,17.0,19.0,25.0
2015-01-15 09:46:00,DL,4,409,76.0,3.0,14.0,-2.0
